MC_Code,MC_Name,Population,Total_Demand_MLD,Current_Supply_MLD
MC001,Ahilyanagar Municipal Corporation,450000,40.5,34.43
MC002,Akola Municipal Corporation,750000,75,71.25
MC003,Amravati Municipal Corporation,647057,100.63,70.44
MC004,Bhiwandi Municipal Corporation,800000,150,115
MC005,Brihanmumbai Municipal Corporation,12800000,1687.5,1687.5
MC006,Chandrapur Municipal Corporation,875000,49.5,16.34
MC007,Chhatrapati Sambhajinagar Municipal Corporation,2000000,270,270
MC008,Dhule Municipal Corporation,446094,84,71.4
MC009,Ichalkaranji Municipal Corporation,450000,67.95,36.0
MC010,Jalgaon Municipal Corporation,650000,87.18,78.46
MC011,Jalna Municipal Corporation,600000,17.4,17.4
MC012,Kalyan-Dombivali Municipal Corporation,1800000,370,320
MC013,Kolhapur Municipal Corporation,650000,87.8,87.8
MC014,Latur Municipal Corporation,750000,75,71.25
MC015,Malegaon Municipal Corporation,800000,88,74.8
MC016,Mira-Bhayander Municipal Corporation,1200000,235,190
MC017,Nagpur Municipal Corporation,3000000,420,336
MC018,Nanded-Waghala Municipal Corporation,800000,108,91.8
MC019,Nashik Municipal Corporation,2500000,428.65,405.59
MC020,Navi Mumbai Municipal Corporation,2000000,470,470
MC021,Panvel Municipal Corporation,600000,265,245
MC022,Parbhani Municipal Corporation,650000,32.5,32.5
MC023,Pimpri-Chinchwad Municipal Corporation,2200000,308,308
MC024,Pune Municipal Corporation,6000000,1164,1164
MC025,Sangli-Miraj-Kupwad Municipal Corporation,600000,126,119.7
MC026,Solapur Municipal Corporation,1100000,148.5,126.225
MC027,Thane Municipal Corporation,2000000,400,485
MC028,Ulhasnagar Municipal Corporation,600000,96,96
MC029,Vasai Virar Municipal Corporation,1975000,187.63,187.63
